filename	min_trees	median_trees	max_trees	total_trees	PC_dist	patients	inferred_k	true_k	consensus_PC	selected_PC	clustering_recall	clustering_precision	clustering_Rand	selection_accuracy	sol_PC_dist	instance	method	M	m
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k8.solution.txt	1	8	156	1154	0.0	50	8	3	0.625	0.04	0.653465	1.0	0.8857139999999999	0.82	0	s0_k3_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k9.solution.txt	1	8	156	1154	0.0	50	9	3	0.666667	0.043636400000000006	0.846535	1.0	0.9493879999999999	0.86	0	s0_k3_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k10.solution.txt	1	8	156	1154	0.0	50	10	3	0.7	0.00181818	0.7698020000000001	1.0	0.924082	0.98	0	s0_k3_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k1.solution.txt	1	8	156	1154	23.25	50	1	3	0.727273	0.163636	1.0	0.329796	0.329796	0.34	0	s0_k3_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k2.solution.txt	1	8	156	1154	9.58333	50	2	3	0.333333	0.07272730000000001	0.970297	0.636364	0.807347	0.78	0	s0_k3_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k3.solution.txt	1	8	156	1154	0.0	50	3	3	0.0	0.0	1.0	1.0	1.0	1.0	0	s0_k3_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k4.solution.txt	1	8	156	1154	0.0	50	4	3	0.25	0.010909100000000001	0.970297	1.0	0.9902040000000001	0.98	0	s0_k3_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k5.solution.txt	1	8	156	1154	0.0	50	5	3	0.4	0.0	0.908416	1.0	0.9697959999999999	1.0	0	s0_k3_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k6.solution.txt	1	8	156	1154	0.0	50	6	3	0.5	0.023636400000000002	0.918317	1.0	0.9730610000000001	0.94	0	s0_k3_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k7.solution.txt	1	8	156	1154	0.0	50	7	3	0.571429	0.043636400000000006	0.7797029999999999	1.0	0.9273469999999999	0.84	0	s0_k3_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k8.solution.txt	1	8	156	1154	0.0	50	8	3	0.625	0.04	0.653465	1.0	0.8857139999999999	0.82	0	s0_k3_n50_M12_m12	RECAP-r10	12	12
